id,project_id,name,role
442,193,"Bryant, Yaphet",AUTHOR
443,193,"Anthony, Laura",AUTHOR
444,193,"Wilkerson, Jennifer",AUTHOR
445,194,"Errett, Nicole",AUTHOR
446,194,"Hartwell, Catherine",AUTHOR
447,194,"Randazza, Juliette",AUTHOR
448,194,"Bratman, Gregory",AUTHOR
449,194,"Eisenman, David",AUTHOR
450,194,"Ellis, Blake",AUTHOR
451,194,"Goodsell, Eli",AUTHOR
452,194,"Levy, Chaja",AUTHOR
453,889,"Oudkerk Pool, Andrea",AUTHOR
454,196,"Zhang, Julia",AUTHOR
455,197,"Milman, Anita",AUTHOR
456,198,"Copes, Heith",AUTHOR
457,198,"Vieraitis, Lynne",AUTHOR
458,199,"Copes, Heith",AUTHOR
459,199,"Vieraitis, Lynne",AUTHOR
460,200,"Herrera, Veronica M.",AUTHOR
461,201,"Herrera, Veronica M.",AUTHOR
462,202,"Wensel, Sophie",AUTHOR
463,4005,"Albrecht, Jennifer",AUTHOR
464,953,"Albrecht, Jennifer",AUTHOR
465,960,"Arora, Prerna",AUTHOR
466,966,"Arora, Prerna",AUTHOR
467,207,"Bartels, Stephen",AUTHOR
468,207,"Skotko, Brian",AUTHOR
469,208,"Bartels, Stephen",AUTHOR
470,208,"Skotko, Brian",AUTHOR
471,209,"Hale, Thomas",AUTHOR
472,210,"Trujillo-Falcón, Joseph",AUTHOR
473,210,"Reedy, Justin",AUTHOR
474,210,"Gaviria Pabón, América",AUTHOR
475,211,"Kaphingst, Kimberly A.",AUTHOR
476,212,"Kaphingst, Kimberly A.",AUTHOR
477,213,"Dunning, Thad",AUTHOR
478,213,"Camp, Edwin",AUTHOR
479,4323,"Kleinhens Pinto Basto Avides, Miguel",AUTHOR
480,215,"Farmer, Helen S.",AUTHOR
481,4427,"Behan, Justine",AUTHOR
482,4427,"Kabajaasi, Olive",AUTHOR
483,4427,"Derksen, Brooklyn",AUTHOR
484,4427,"Sendegye, George",AUTHOR
485,4427,Kuugumikiriza,AUTHOR
486,4427,"Komugisha, Clare",AUTHOR
487,4427,"Sundararajan, Radhika",AUTHOR
488,4427,"Jacob, Shevin T.",AUTHOR
489,4427,"Kenya-Mugisha, Nathan",AUTHOR
490,4427,"Wiens, Matthew O.",AUTHOR
491,217,"Bliersbach, Hannah",AUTHOR
492,218,"Shymko, Vitalii",AUTHOR
493,219,"Naughton, Meredith R.",AUTHOR
494,220,"Naughton, Meredith R.",AUTHOR
495,221,"Naughton, Meredith R.",AUTHOR
496,222,"Naughton, Meredith R.",AUTHOR
497,223,"Naughton, Meredith R.",AUTHOR
498,224,"Naughton, Meredith R.",AUTHOR
499,225,"Naughton, Meredith R.",AUTHOR
500,226,"Naughton, Meredith R.",AUTHOR
501,227,"Naughton, Meredith R.",AUTHOR
502,1102,"Thorkildsen, Zoë",AUTHOR
503,1102,"Wohl, Emma",AUTHOR
504,1102,"Bryson, Bridgette",AUTHOR
505,1102,"Lafferty, Jennifer",AUTHOR
506,1102,"Dockstader, Jessica",AUTHOR
507,1108,"Thorkildsen, Zoë",AUTHOR
508,1108,"Wohl, Emma",AUTHOR
509,1108,"Bryson, Bridgette",AUTHOR
510,1108,"Lafferty, Jennifer",AUTHOR
511,1108,"Dockstader, Jessica",AUTHOR
512,230,Emily A. Norman,AUTHOR
513,230,Jiaying Liu,AUTHOR
514,230,Elliott Hauser,AUTHOR
515,230,Yifan Xu,AUTHOR
