id,project_id,file_name,file_type,status
181,55,Matima_Interviews_Participant P1.pdf,pdf,SUCCEEDED
182,55,Matima_Interviews_Participant P2.pdf,pdf,SUCCEEDED
183,55,Matima_Interviews_Participant P3.pdf,pdf,SUCCEEDED
184,55,Matima_Interviews_Participant P4.pdf,pdf,SUCCEEDED
185,55,Matima_Interviews_Participant P5.pdf,pdf,SUCCEEDED
186,55,Matima_Interviews_Participant P6.pdf,pdf,SUCCEEDED
187,55,Matima_Interviews_Participant P7.pdf,pdf,SUCCEEDED
188,55,Matima_Interviews_Participant P8.pdf,pdf,SUCCEEDED
189,55,Matima_Interviews_Participant P9.pdf,pdf,SUCCEEDED
190,56,Codebook_Part4.pdf,pdf,SUCCEEDED
191,56,Dataset_Part1.csv,csv,SUCCEEDED
192,56,Dataset_Part2.csv,csv,SUCCEEDED
193,56,Dataset_Part3.csv,csv,SUCCEEDED
194,56,IdentityCompatibility_Part2.pdf,pdf,SUCCEEDED
195,56,InformedConsent_Part1_Dutch.pdf,pdf,SUCCEEDED
196,56,InformedConsent_Part1_English.pdf,pdf,SUCCEEDED
197,56,InterviewProtocol_Part4.pdf,pdf,SUCCEEDED
198,56,Methodology_Part4.pdf,pdf,SUCCEEDED
199,56,ReadMe_AccessibilityHonours.pdf,pdf,SUCCEEDED
200,56,Survey Part 1.xlsx,xlsx,SUCCEEDED
201,56,Survey Part 2.xlsx,xlsx,SUCCEEDED
202,56,Survey Part 3.xlsx,xlsx,SUCCEEDED
203,57,fraseologia-lenguaje-claro-artext.tab,tab,SUCCEEDED
204,57,readme-en.txt,txt,SUCCEEDED
205,57,readme-es.txt,txt,SUCCEEDED
206,58,Harrison_Codebook.pdf,pdf,SUCCEEDED
207,58,Harrison_COMBMethods.pdf,pdf,SUCCEEDED
208,58,Harrison_ConceptualModel.pdf,pdf,SUCCEEDED
209,58,Harrison_Glossary.pdf,pdf,SUCCEEDED
210,58,Harrison_HospiceInformedConsent.pdf,pdf,SUCCEEDED
211,58,Harrison_InterviewGuide_Clinicians.pdf,pdf,SUCCEEDED
212,58,Harrison_InterviewGuide_Leaders.pdf,pdf,SUCCEEDED
213,58,Harrison_InterviewGuide_QualityImprovementAdministrators.pdf,pdf,SUCCEEDED
214,58,Harrison_s1_leader_p16_interview.pdf,pdf,SUCCEEDED
215,58,Harrison_s1_p15_QI_SW_interview.pdf,pdf,SUCCEEDED
216,58,Harrison_s1_p17_leader_interview.pdf,pdf,SUCCEEDED
217,58,Harrison_s1_p18_QI_leader_interview.pdf,pdf,SUCCEEDED
218,58,Harrison_s1_p19_clinician_RN_interview.pdf,pdf,SUCCEEDED
219,58,Harrison_s1_p20_clinician_SW_interview.pdf,pdf,SUCCEEDED
